id,Titre comment,Date de repinse,Reponse ou non,Liste peronnes,Nombre d'etoile
0,encore une commande partiellement...,,True,Showroomprive.com,1
1,Tres decue,26 fevrier 2023,True,Showroomprive.com,1
2,Je n'ai jamais recu ma commande,,True,Showroomprive.com,1
3,Showroomprive c est fini !,,True,Showroomprive.com,1
4,J'ai commande 2 colliers,26 fevrier 2023,True,Showroomprive.com,1
5,Tres decue de la derniere commande.,26 fevrier 2023,True,Showroomprive.com,1
6,Produit achete en Septembre 2022...,,True,Showroomprive.com,1
7,2 commandes de suite passe sur...,26 fevrier 2023,True,Showroomprive.com,1
8,Article recu defectueux,25 fevrier 2023,True,Showroomprive.com,1
9,Produit achete en Septembre 2022...,,True,Showroomprive.com,1
10,Frais de retour Purement scandaleux,,True,Showroomprive.com,1
11,Malheureusement un service colissimo...,24 fevrier 2023,True,Showroomprive.com,1
12,Sur mes 3 dernieres commandes 3...,25 fevrier 2023,True,Showroomprive.com,2
13,delai tres long..qualite decevante,25 fevrier 2023,True,Showroomprive.com,2
14,Commande de trois calecons Calvin klein...,24 fevrier 2023,True,Showroomprive.com,1
15,Commande incomplete,23 fevrier 2023,True,Showroomprive.com,2
16,Je n'ai jamais recu mon colis,26 fevrier 2023,True,Showroomprive.com,1
17,SAV inexistant/ erreurs de produits,,True,Showroomprive.com,1
18,Recu t shirt troue,27 fevrier 2023,True,Showroomprive.com,2
19,"je ne commanderai plus jamais,qualite...",25 fevrier 2023,True,Showroomprive.com,2
20,Je ne suis pas contente,22 fevrier 2023,True,Showroomprive.com,1
21,Showroom annonce de faux Voyages,,True,Showroomprive.com,1
22,tres decue de ma commande chez...,27 fevrier 2023,True,Showroomprive.com,2
23,Commande no278345447 annulee sans raison.,,True,Showroomprive.com,1
24,Sur la photo un tres joli pantalon,25 fevrier 2023,True,Showroomprive.com,1
25,Produits entretien linge,22 fevrier 2023,True,Showroomprive.com,2
26,livree les bons articles au personne...,21 fevrier 2023,True,Showroomprive.com,1
27,Decue,23 fevrier 2023,True,Showroomprive.com,2
28,Bonjour,23 fevrier 2023,True,Showroomprive.com,1
29,Les colis ne sont pas livres dans le...,22 fevrier 2023,True,Showroomprive.com,1
30,Et bien je n'ai pas recu un des article...commande incomplete,27 fevrier 2023,True,Showroomprive.com,1
31,Honteux!,20 fevrier 2023,True,Showroomprive.com,1
32,Une partie de ma commande est annulee...,25 fevrier 2023,True,Showroomprive.com,1
33,Commande du 10 fevrier (A-1478895-1-A)...,,True,Showroomprive.com,1
34,2 articles commandes,24 fevrier 2023,True,Showroomprive.com,2
35,Taille affiche sur le site ne...,27 fevrier 2023,True,Showroomprive.com,2
36,Sur 2 commandes je ne suis pas...,21 fevrier 2023,True,Showroomprive.com,2
37,L'article ne correspondait pas a celui commande,26 fevrier 2023,True,Showroomprive.com,1
38,Un peu decue de ma derniere commande,23 fevrier 2023,True,Showroomprive.com,2
39,Le lieu du relais colis a ete modifie,22 fevrier 2023,True,Showroomprive.com,1
40,Abus envers le client client et tresorerie sur son compte . Ventes fantome,,True,Showroomprive.com,1
41,Infinity ne fonctionne plus sur toutes...,23 fevrier 2023,True,Showroomprive.com,1
42,Pas satisfaite,23 fevrier 2023,True,Showroomprive.com,1
43,Honteux et malhonnete.,,True,Showroomprive.com,1
44,Suite a une erreur d'adresse de...,19 fevrier 2023,True,Showroomprive.com,1
45,Coli non receptionne,19 fevrier 2023,True,Showroomprive.com,1
46,delai de livraison lamentable,20 fevrier 2023,True,Showroomprive.com,2
47,Pas la bonne couleur par rapport a la...,20 fevrier 2023,True,Showroomprive.com,2
48,J ai achete un lot de 3 cadres,20 fevrier 2023,True,Showroomprive.com,1
49,Jai achete un matelas EMMA avec 2...,,True,Showroomprive.com,1
50,Manteaux,18 fevrier 2023,True,Showroomprive.com,1
51,J'ai recu 2 bougies tres bien emballees...,19 fevrier 2023,True,Showroomprive.com,2
52,Absence de confirmation,,True,Showroomprive.com,1
53,Tout mes achats,19 fevrier 2023,True,Showroomprive.com,1
54,Mauvaise experience,19 fevrier 2023,True,Showroomprive.com,1
55,"meuble en vrac, article manquant et notice en turc",19 fevrier 2023,True,Showroomprive.com,1
56,Article avec des defauts et manque des...,19 fevrier 2023,True,Showroomprive.com,2
57,Date de livraison pas respecte !,19 fevrier 2023,True,Showroomprive.com,1
58,Commande livree en retard et dans le...,19 fevrier 2023,True,Showroomprive.com,1
59,Beaucoup de problemes pour la livraison...,17 fevrier 2023,True,Showroomprive.com,1
60,Beaucoup de problemes pour la livraison...,17 fevrier 2023,True,Showroomprive.com,1
61,Extremement decue par ma commande et le manque de reactivite du site,18 fevrier 2023,True,Showroomprive.com,1
62,Aucune senteur tres decu,15 fevrier 2023,True,Showroomprive.com,1
63,La veste en jeans a un bouton casse,18 fevrier 2023,True,Showroomprive.com,1
64,la reception est un peu longue et la...,18 fevrier 2023,True,Showroomprive.com,1
65,La taille ne correspond pas du tout,18 fevrier 2023,True,Showroomprive.com,2
66,Descriptif des articles incomplet,18 fevrier 2023,True,Showroomprive.com,1
67,Decu car aucun imprime et coton!...,18 fevrier 2023,True,Showroomprive.com,2
68,A chaque fois que je commande sur...,17 fevrier 2023,True,Showroomprive.com,1
69,Produits de mauvaise qualite,15 fevrier 2023,True,Showroomprive.com,1
70,Commande incomplete.,12 fevrier 2023,True,Showroomprive.com,1
71,Cela fait plusieurs fois que je ne...,17 fevrier 2023,True,Showroomprive.com,1
72,Pas satisfaite du tout,17 fevrier 2023,True,Showroomprive.com,1
73,Le descriptif des produits n'est pas...,17 fevrier 2023,True,Showroomprive.com,2
74,LA COMMANDE RECUE NE CORRESPOND...,17 fevrier 2023,True,Showroomprive.com,1
75,Nul plus de 8 jours pour avoir une...,,True,Showroomprive.com,1
76,Catastrophique !!,16 fevrier 2023,True,Showroomprive.com,1
77,Cette societe travaille avec un...,,True,Showroomprive.com,1
78,Tres mauvaise livraison. ...,16 fevrier 2023,True,Showroomprive.com,1
79,Commande incomplete,27 janvier 2023,True,Showroomprive.com,1
80,experience catastrophique,16 fevrier 2023,True,Showroomprive.com,1
81,Meuble avec des elements casses,16 fevrier 2023,True,Showroomprive.com,1
82,Service Mediocre,16 fevrier 2023,True,Showroomprive.com,1
83,la boite en bois pour mouchoirs...,15 fevrier 2023,True,Showroomprive.com,2
84,Tres mauvaise qualite !! La livraison a ete vraiment tres tres...,15 fevrier 2023,True,Showroomprive.com,1
85,Bonnet ne correspond pas du tout a la...,15 fevrier 2023,True,Showroomprive.com,1
86,arrive avec beaucoup de retard,15 fevrier 2023,True,Showroomprive.com,1
87,Commande mango,15 fevrier 2023,True,Showroomprive.com,2
88,Trois points relais et je n'ai toujours...,15 fevrier 2023,True,Showroomprive.com,1
89,J'ai passe une commande et je recois juste un morceau,15 fevrier 2023,True,Showroomprive.com,2
90,pas satisfaite du tout !,29 janvier 2023,True,Showroomprive.com,1
91,Bonjour,,True,Showroomprive.com,1
92,Augmentation des frais de...,12 fevrier 2023,True,Showroomprive.com,1
93,m'a livre une valise d'une autre...,12 fevrier 2023,True,Showroomprive.com,1
94,Encore un colis non recu.,12 fevrier 2023,True,Showroomprive.com,2
