,Titre comment,Date de réponse,Reponse ou non,Liste peronnes,Nombre d'étoile
0,2 mois de delai avant livraison et le…,05 mars 2023,True,Showroomprive.com,1
1,Je n'ai pas reçu le bon d'achat de…,05 mars 2023,True,Showroomprive.com,1
2,Je n est pas encore récupéré ma commande elle est en transit je ne sais même pas où😠😠😠 ?,04 mars 2023,True,Showroomprive.com,1
3,Ma commande est confirmé et tout…,04 mars 2023,True,Showroomprive.com,2
4,Réponse du service client tard et mauvaise,04 mars 2023,True,Showroomprive.com,1
5,Impossible de me connecter à mon…,04 mars 2023,True,Showroomprive.com,1
6,Problème de taille,05 mars 2023,True,Showroomprive.com,2
7,DO NOT BUY JEWELLERY !,02 mars 2023,True,Showroomprive.com,1
8,Showroom privé escoqueries,20 février 2023,True,Showroomprive.com,1
9,Personne n'est capable de me dire où…,23 février 2023,True,Showroomprive.com,1
10,J'ai été taxé sur une même commande…,05 mars 2023,True,Showroomprive.com,1
11,Arnaque,28 février 2023,True,Showroomprive.com,1
12,N'importe quoi !!!,03 mars 2023,True,Showroomprive.com,1
13,Commande pas respectée ai commandé…,05 mars 2023,True,Showroomprive.com,1
14,achete 4 chaises gabriella chez bemvi…,27 février 2023,True,Showroomprive.com,1
15,Deuxième fois que je commande,04 mars 2023,True,Showroomprive.com,1
16,Dommage qu'on ne puisse pas mettre 0…,27 février 2023,True,Showroomprive.com,1
17,Le produit fourni n’est pas conforme à…,05 mars 2023,True,Showroomprive.com,1
18,Je n’ai jamais reçu ma commande,26 août 2022,True,Showroomprive.com,1
19,Commande en stock partiellement annulée,01 mars 2023,True,Showroomprive.com,2
20,L'article que j'ai reçu ne correspond pas à ma commande,02 mars 2023,True,Showroomprive.com,2
21,Très déçue de la dernière commande.,26 février 2023,True,Showroomprive.com,1
22,VENTE DE CONTREFAÇONS,28 février 2022,True,Showroomprive.com,1
23,Colis non reçu,04 mars 2023,True,Showroomprive.com,1
24,Même s’il s’agit d’un article…,05 mars 2023,True,Showroomprive.com,1
25,"Sa fait deux fois que l,on m,annule des…",04 mars 2023,True,Showroomprive.com,1
26,Commande horrible,02 mars 2023,True,Showroomprive.com,1
27,un bijou hors de prix et on dirait de…,04 mars 2023,True,Showroomprive.com,1
28,Bonjour,01 mars 2023,True,Showroomprive.com,1
29,Malheureusement un service colissimo…,24 février 2023,True,Showroomprive.com,1
30,Commande partiellement annulée sans en…,02 mars 2023,True,Showroomprive.com,1
31,bjr erreur sur la marchandise livrée et…,02 mars 2023,True,Showroomprive.com,1
32,Service après vente médiocre et les…,01 mars 2023,True,Showroomprive.com,1
33,Sur un des deux articles commandés,03 mars 2023,True,Showroomprive.com,2
34,Reçu t shirt troué,27 février 2023,True,Showroomprive.com,2
35,Déçue.,02 mars 2023,True,Showroomprive.com,1
36,déçue,01 mars 2023,True,Showroomprive.com,1
37,très déçue de ma commande chez…,27 février 2023,True,Showroomprive.com,2
38,Une commande garantie prévue pour la St…,03 mars 2023,True,Showroomprive.com,2
39,Le descriptif des produits est souvent…,02 mars 2023,True,Showroomprive.com,2
40,La livraison a été longue et quand l…,03 mars 2023,True,Showroomprive.com,1
41,regrets,01 mars 2023,True,Showroomprive.com,2
42,Et bien je n’ai pas reçu un des article…commande incomplète,27 février 2023,True,Showroomprive.com,1
43,Marque déconseillée,02 mars 2023,True,Showroomprive.com,2
44,le colis était ouvert et il manquait…,04 mars 2023,True,Showroomprive.com,2
45,2 articles commandés,24 février 2023,True,Showroomprive.com,2
46,Taille affiché sur le site ne…,27 février 2023,True,Showroomprive.com,2
47,Accusation d’escroquerie,28 février 2023,True,Showroomprive.com,1
48,Malheureusement un service colissimo…,24 février 2023,True,Showroomprive.com,1
49,Produit acheté en Septembre 2022…,27 octobre 2022,True,Showroomprive.com,1
50,Je n'ai jamais reçu mon colis,26 février 2023,True,Showroomprive.com,1
51,J'ai commandé 2 colliers,26 février 2023,True,Showroomprive.com,1
52,encore une commande partiellement…,27 février 2023,True,Showroomprive.com,1
53,Showroomprive c est fini !,11 octobre 2022,True,Showroomprive.com,1
54,Très déçue,26 février 2023,True,Showroomprive.com,1
55,2 commandes de suite passe sur…,26 février 2023,True,Showroomprive.com,1
56,L'article ne correspondait pas à celui commandé,26 février 2023,True,Showroomprive.com,1
57,Article reçu défectueux,25 février 2023,True,Showroomprive.com,1
58,délai très long..qualité décevante,25 février 2023,True,Showroomprive.com,2
59,Sur la photo un très joli pantalon,25 février 2023,True,Showroomprive.com,1
